id,name,rating,genre,lunch_budget,dinner_budget,redirect_url,thumbnail_image_url
tokyo-A1301-A130103-13046865,炉端焼 うだつ 新橋店,3.56, 新橋駅 159m / ろばた焼き、魚介料理・海鮮料理、居酒屋,,,https://tabelog.com/tokyo/A1301/A130103/13046865/,https://tblg.k-img.com/restaurant/images/Rvw/101957/101957367.jpg
tokyo-A1301-A130101-13002279,銀座ロビー,3.52, 銀座一丁目駅 138m / 居酒屋、魚介料理・海鮮料理、ダイニングバー,,,https://tabelog.com/tokyo/A1301/A130101/13002279/,https://tblg.k-img.com/restaurant/images/Rvw/82185/82185636.jpg
tokyo-A1302-A130201-13004078,マンゴツリー東京,3.74, 二重橋前駅 217m / タイ料理、バイキング、ダイニングバー,,,https://tabelog.com/tokyo/A1302/A130201/13004078/,https://tblg.k-img.com/restaurant/images/Rvw/104912/104912444.jpg
tokyo-A1301-A130101-13077944,ホルモンでですけ,3.65, 銀座駅 149m / 焼肉、ホルモン、居酒屋,,,https://tabelog.com/tokyo/A1301/A130101/13077944/,https://tblg.k-img.com/restaurant/images/Rvw/50935/50935771.jpg
tokyo-A1301-A130101-13189458,すし縁,3.69, 内幸町駅 395m / 寿司、懐石・会席料理、割烹・小料理,,,https://tabelog.com/tokyo/A1301/A130101/13189458/,https://tblg.k-img.com/restaurant/images/Rvw/45966/45966095.jpg
tokyo-A1308-A130802-13175595,シュリンプ ガーデン,3.56, 虎ノ門駅 263m / バル・バール、イタリアン、ビストロ,,,https://tabelog.com/tokyo/A1308/A130802/13175595/,https://tblg.k-img.com/restaurant/images/Rvw/111374/111374877.jpg
tokyo-A1301-A130103-13016561,MAIMON GINZA,3.51, 新橋駅 267m / イタリアン、ダイニングバー、オイスターバー,,,https://tabelog.com/tokyo/A1301/A130103/13016561/,https://tblg.k-img.com/restaurant/images/Rvw/102863/102863326.jpg
tokyo-A1301-A130101-13002685,かん,3.66, 銀座駅 229m / おでん、割烹・小料理、居酒屋,,,https://tabelog.com/tokyo/A1301/A130101/13002685/,https://tblg.k-img.com/restaurant/images/Rvw/102701/102701826.jpg
tokyo-A1301-A130101-13016576,はかりめ,3.66, 東銀座駅 184m / あなご、割烹・小料理、魚介料理・海鮮料理,,,https://tabelog.com/tokyo/A1301/A130101/13016576/,https://tblg.k-img.com/restaurant/images/Rvw/3435/3435661.jpg
tokyo-A1302-A130201-13152067,肉ビストロ&クラフトビール ランプラント,3.51, 二重橋前駅 65m / ビストロ、ステーキ、ダイニングバー,,,https://tabelog.com/tokyo/A1302/A130201/13152067/,https://tblg.k-img.com/restaurant/images/Rvw/65177/65177008.jpg
tokyo-A1302-A130201-13020120,バル デ エスパーニャ ムイ,3.59, 二重橋前駅 351m / スペイン料理、ビストロ、ダイニングバー,,,https://tabelog.com/tokyo/A1302/A130201/13020120/,https://tblg.k-img.com/restaurant/images/Rvw/50921/50921648.jpg
