id,name,rating,genre,lunch_budget,dinner_budget,redirect_url,thumbnail_image_url
tokyo-A1308-A130801-13045239,宮崎酒房 くわ,3.54, 赤坂見附駅 141m / 居酒屋、焼鳥、鳥料理,"[0, 999]","[4000, 4999]",https://tabelog.com/tokyo/A1308/A130801/13045239/,https://tblg.k-img.com/restaurant/images/Rvw/103176/103176533.jpg
tokyo-A1308-A130801-13002832,土佐料理 祢保希 赤坂店,3.63, 赤坂見附駅 170m / 居酒屋、魚介料理・海鮮料理、懐石・会席料理,"[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13002832/,https://tblg.k-img.com/restaurant/images/Rvw/55172/55172292.jpg
tokyo-A1308-A130801-13047564,grigio la tavola,3.51, 赤坂駅 118m / イタリアン、ダイニングバー、居酒屋,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1308/A130801/13047564/,https://tblg.k-img.com/restaurant/images/Rvw/107590/107590918.jpg
tokyo-A1308-A130802-13169860,天丼 金子屋 赤坂店,3.71, 溜池山王駅 151m / 天丼・天重、和食（その他）、天ぷら,"[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1308/A130802/13169860/,https://tblg.k-img.com/restaurant/images/Rvw/57906/57906826.jpg
tokyo-A1308-A130801-13032831,逸品料理屋 流石,3.52, 赤坂駅 252m / 割烹・小料理、創作料理、日本酒バー,"[0, 999]","[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13032831/,https://tblg.k-img.com/restaurant/images/Rvw/99671/99671516.jpg
tokyo-A1308-A130801-13124011,キッチャーノ,3.74, 赤坂駅 156m / イタリアン、ステーキ、炭火焼き,"[2000, 2999]","[20000, 29999]",https://tabelog.com/tokyo/A1308/A130801/13124011/,https://tblg.k-img.com/restaurant/images/Rvw/51666/51666003.jpg
tokyo-A1308-A130801-13097683,ヴィラモウラ 赤坂サカス店,3.58, 赤坂駅 118m / 西洋各国料理（その他）、ダイニングバー、ワインバー,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1308/A130801/13097683/,https://tblg.k-img.com/restaurant/images/Rvw/86734/86734738.jpg
tokyo-A1308-A130801-13207593,赤坂 鮨葵,3.51, 赤坂駅 137m / 寿司、ダイニングバー、魚介料理・海鮮料理,[0],"[10000, 14999]",https://tabelog.com/tokyo/A1308/A130801/13207593/,https://tblg.k-img.com/restaurant/images/Rvw/67894/67894405.jpg
tokyo-A1308-A130801-13002818,赤坂とゝや魚新,3.75, 赤坂駅 204m / 割烹・小料理、魚介料理・海鮮料理、懐石・会席料理,"[2000, 2999]","[10000, 14999]",https://tabelog.com/tokyo/A1308/A130801/13002818/,https://tblg.k-img.com/restaurant/images/Rvw/109294/109294476.jpg
tokyo-A1308-A130801-13004946,セレブール,3.65, 赤坂見附駅 183m / フレンチ、ビストロ、ワインバー,[0],"[10000, 14999]",https://tabelog.com/tokyo/A1308/A130801/13004946/,https://tblg.k-img.com/restaurant/images/Rvw/109178/109178171.jpg
tokyo-A1308-A130801-13072687,仁屋,3.52, 赤坂駅 191m / 懐石・会席料理、すき焼き、居酒屋,"[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13072687/,https://tblg.k-img.com/restaurant/images/Rvw/67779/67779871.jpg
