id,name,rating,genre,lunch_budget,dinner_budget,redirect_url,thumbnail_image_url
tokyo-A1306-A130603-13221781,近江うし 焼肉 にくTATSU 青山本店,3.58, 外苑前駅 317m / 焼肉、ホルモン、ステーキ,[0],"[6000, 7999]",https://tabelog.com/tokyo/A1306/A130603/13221781/,https://tblg.k-img.com/restaurant/images/Rvw/95210/150x150_square_95210251.jpg
tokyo-A1306-A130602-13165628,お好み たまちゃん 青山店,3.52, 表参道駅 227m / お好み焼き、居酒屋、鉄板焼き,[0],"[2000, 2999]",https://tabelog.com/tokyo/A1306/A130602/13165628/,https://tblg.k-img.com/restaurant/images/Rvw/32094/150x150_square_32094568.jpg
tokyo-A1306-A130603-13215773,日本料理若林,3.51, 外苑前駅 347m / 懐石・会席料理,"[5000, 5999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13215773/,https://tblg.k-img.com/restaurant/images/Rvw/102762/150x150_square_102762292.jpg
tokyo-A1306-A130603-13175709,Hostaria Casa Bella,3.56, 外苑前駅 603m / イタリアン、ステーキ、パスタ,"[5000, 5999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13175709/,https://tblg.k-img.com/restaurant/images/Rvw/105996/150x150_square_105996556.jpg
tokyo-A1306-A130603-13033502,青山牛彩,3.55, 外苑前駅 307m / 鉄板焼き、しゃぶしゃぶ、ステーキ,"[2000, 2999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13033502/,https://tblg.k-img.com/restaurant/images/Rvw/57936/150x150_square_57936164.jpg
tokyo-A1306-A130603-13172919,アヒリヤ 青山店,3.5, 外苑前駅 185m / インドカレー、インド料理、居酒屋・ダイニングバー（その他）,"[0, 999]","[2000, 2999]",https://tabelog.com/tokyo/A1306/A130603/13172919/,https://tblg.k-img.com/restaurant/images/Rvw/45060/150x150_square_45060657.jpg
tokyo-A1306-A130602-13211615,ristorante misola,3.66, 表参道駅 222m / イタリアン、パスタ、ダイニングバー,"[4000, 4999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130602/13211615/,https://tblg.k-img.com/restaurant/images/Rvw/105511/150x150_square_105511332.jpg
tokyo-A1306-A130602-13004409,アニヴェルセル カフェ,3.56, 表参道駅 149m / フレンチ、カフェ、ワインバー,"[1000, 1999]","[3000, 3999]",https://tabelog.com/tokyo/A1306/A130602/13004409/,https://tblg.k-img.com/restaurant/images/Rvw/64376/150x150_square_64376528.jpg
tokyo-A1306-A130601-13144629,San Francisco Peaks,3.73, 明治神宮前駅 564m / アメリカ料理、パンケーキ、ハンバーガー,"[1000, 1999]","[3000, 3999]",https://tabelog.com/tokyo/A1306/A130601/13144629/,https://tblg.k-img.com/restaurant/images/Rvw/73976/150x150_square_73976714.jpg
tokyo-A1306-A130603-13012956,日比谷園 青山店,3.5, 青山一丁目駅 90m / 中華料理、四川料理、居酒屋,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1306/A130603/13012956/,https://tblg.k-img.com/restaurant/images/Rvw/103569/150x150_square_103569543.jpg
tokyo-A1306-A130603-13035134,焼はまぐり 青山八番too,3.53, 青山一丁目駅 282m / 居酒屋、魚介料理・海鮮料理、和食（その他）,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130603/13035134/,https://tblg.k-img.com/restaurant/images/Rvw/108258/150x150_square_108258122.jpg
tokyo-A1306-A130603-13001209,リストランテ・サバティーニ 青山,3.54, 外苑前駅 157m / イタリアン、フレンチ、ワインバー,"[4000, 4999]","[15000, 19999]",https://tabelog.com/tokyo/A1306/A130603/13001209/,https://tblg.k-img.com/restaurant/images/Rvw/94464/150x150_square_94464269.jpg
tokyo-A1306-A130603-13192818,銀座 あまくさ 青山外苑,3.53, 外苑前駅 97m / 馬肉料理、鳥料理、水炊き,[0],"[6000, 7999]",https://tabelog.com/tokyo/A1306/A130603/13192818/,https://tblg.k-img.com/restaurant/images/Rvw/48659/150x150_square_48659941.jpg
tokyo-A1306-A130603-13101027,礼華　青鸞居,3.72, 外苑前駅 185m / 中華料理、上海料理,"[4000, 4999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13101027/,https://tblg.k-img.com/restaurant/images/Rvw/40517/150x150_square_40517990.jpg
tokyo-A1306-A130601-13219129,レヴォル,3.76, 外苑前駅 448m / フレンチ、ワインバー、モダンフレンチ,"[6000, 7999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130601/13219129/,https://tblg.k-img.com/restaurant/images/Rvw/83876/150x150_square_83876948.jpg
tokyo-A1306-A130603-13182652,iCas storia,3.56, 外苑前駅 515m / イタリアン、野菜料理、イノベーティブ・フュージョン,[0],"[6000, 7999]",https://tabelog.com/tokyo/A1306/A130603/13182652/,https://tblg.k-img.com/restaurant/images/Rvw/101130/150x150_square_101130860.jpg
tokyo-A1309-A130901-13206436,bistro Tiroir,3.55, 国立競技場駅 586m / ビストロ,"[2000, 2999]","[6000, 7999]",https://tabelog.com/tokyo/A1309/A130901/13206436/,https://tblg.k-img.com/restaurant/images/Rvw/88405/150x150_square_88405189.jpg
tokyo-A1306-A130602-13124210,表参道ワイン食堂Den,3.5, 表参道駅 57m / バル・バール、ビストロ、居酒屋,[0],"[3000, 3999]",https://tabelog.com/tokyo/A1306/A130602/13124210/,https://tblg.k-img.com/restaurant/images/Rvw/36191/150x150_square_36191170.jpg
tokyo-A1306-A130603-13209817,Ysm,3.68, 外苑前駅 441m / モダンフレンチ、イノベーティブ・フュージョン、自然食,"[6000, 7999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13209817/,https://tblg.k-img.com/restaurant/images/Rvw/85135/150x150_square_85135534.jpg
tokyo-A1306-A130603-13198185,メイユー アヴニール ア トウキョウ,3.56, 外苑前駅 228m / フレンチ、洋食、バー・お酒（その他）,"[3000, 3999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13198185/,https://tblg.k-img.com/restaurant/images/Rvw/65324/150x150_square_65324107.jpg
tokyo-A1306-A130603-13025789,リストランテAO 青山,3.54, 外苑前駅 250m / イタリアン、パスタ、ワインバー,"[2000, 2999]","[6000, 7999]",https://tabelog.com/tokyo/A1306/A130603/13025789/,https://tblg.k-img.com/restaurant/images/Rvw/81187/150x150_square_81187436.jpg
tokyo-A1306-A130603-13004578,リストランテ アクアパッツァ,3.55, 外苑前駅 175m / イタリアン、シーフード、野菜料理,"[4000, 4999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13004578/,https://tblg.k-img.com/restaurant/images/Rvw/108461/150x150_square_108461819.jpg
tokyo-A1306-A130603-13049640,モンテ アスル,3.67, 外苑前駅 183m / スペイン料理、バイキング、ワインバー,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130603/13049640/,https://tblg.k-img.com/restaurant/images/Rvw/112324/150x150_square_112324292.jpg
tokyo-A1306-A130602-13005336,ニド・カフェ,3.58, 表参道駅 126m / ビストロ、カフェ、ケーキ,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1306/A130602/13005336/,https://tblg.k-img.com/restaurant/images/Rvw/84629/150x150_square_84629685.jpg
tokyo-A1306-A130602-13156527,La CHIARA,3.53, 表参道駅 38m / イタリアン、パスタ、ビストロ,"[2000, 2999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130602/13156527/,https://tblg.k-img.com/restaurant/images/Rvw/94748/150x150_square_94748302.jpg
tokyo-A1306-A130603-13225589,THE BURN,3.51, 青山一丁目駅 47m / ステーキ、洋食、アメリカ料理,"[1000, 1999]","[8000, 9999]",https://tabelog.com/tokyo/A1306/A130603/13225589/,https://tblg.k-img.com/restaurant/images/Rvw/100941/150x150_square_100941380.jpg
tokyo-A1307-A130701-13014224,肉匠なか田,3.68, 乃木坂駅 637m / 焼肉、ステーキ、ホルモン,[0],"[15000, 19999]",https://tabelog.com/tokyo/A1307/A130701/13014224/,https://tblg.k-img.com/restaurant/images/Rvw/83007/150x150_square_83007469.jpg
tokyo-A1306-A130602-13023635,ブラッセリートゥール,3.51, 表参道駅 50m / ビストロ、フレンチ、ワインバー,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130602/13023635/,https://tblg.k-img.com/restaurant/images/Rvw/101520/150x150_square_101520124.jpg
tokyo-A1306-A130603-13059958,"Terres de Truffes, Tokyo",3.71, 外苑前駅 136m / フレンチ、洋食、西洋各国料理（その他）,"[5000, 5999]","[15000, 19999]",https://tabelog.com/tokyo/A1306/A130603/13059958/,https://tblg.k-img.com/restaurant/images/Rvw/101076/150x150_square_101076838.jpg
tokyo-A1306-A130603-13121942,セントベーネ,3.53, 外苑前駅 309m / イタリアン、パスタ、バル・バール,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130603/13121942/,https://tblg.k-img.com/restaurant/images/Rvw/63560/150x150_square_63560221.jpg
tokyo-A1306-A130603-13025995,焼鳥今井,3.85, 外苑前駅 384m / 焼鳥、和食（その他）、ワインバー,[0],"[8000, 9999]",https://tabelog.com/tokyo/A1306/A130603/13025995/,https://tblg.k-img.com/restaurant/images/Rvw/88169/150x150_square_88169912.jpg
tokyo-A1306-A130603-13120307,木ノ下,3.52, 外苑前駅 315m / 魚介料理・海鮮料理、懐石・会席料理、バー,[0],"[8000, 9999]",https://tabelog.com/tokyo/A1306/A130603/13120307/,https://tblg.k-img.com/restaurant/images/Rvw/97026/150x150_square_97026021.jpg
tokyo-A1306-A130602-13007408,レッドペッパー 表参道店,3.57, 表参道駅 43m / ビストロ、洋食、パスタ,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1306/A130602/13007408/,https://tblg.k-img.com/restaurant/images/Rvw/34935/150x150_square_34935341.jpg
tokyo-A1306-A130603-13001202,ピッツェリア・サバティーニ 青山,3.65, 外苑前駅 157m / イタリアン、西洋各国料理（その他）、パスタ,"[2000, 2999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130603/13001202/,https://tblg.k-img.com/restaurant/images/Rvw/89880/150x150_square_89880876.jpg
tokyo-A1306-A130603-13115715,葉山庵Tokyo,3.66, 外苑前駅 209m / フレンチ,"[2000, 2999]","[8000, 9999]",https://tabelog.com/tokyo/A1306/A130603/13115715/,https://tblg.k-img.com/restaurant/images/Rvw/24680/150x150_square_24680460.jpg
tokyo-A1306-A130602-13137097,ラス,3.78, 表参道駅 418m / フレンチ、モダンフレンチ,[0],"[6000, 7999]",https://tabelog.com/tokyo/A1306/A130602/13137097/,https://tblg.k-img.com/restaurant/images/Rvw/30967/150x150_square_30967665.jpg
tokyo-A1306-A130603-13185771,焼肉ホルモン 青一,3.51, 青山一丁目駅 224m / 焼肉、ホルモン、韓国料理,[0],"[6000, 7999]",https://tabelog.com/tokyo/A1306/A130603/13185771/,https://tblg.k-img.com/restaurant/images/Rvw/48486/150x150_square_48486454.jpg
tokyo-A1306-A130603-13162493,プレヴナンス,3.97, 外苑前駅 239m / フレンチ,"[6000, 7999]","[15000, 19999]",https://tabelog.com/tokyo/A1306/A130603/13162493/,https://tblg.k-img.com/restaurant/images/Rvw/71452/150x150_square_71452553.jpg
tokyo-A1306-A130603-13016590,リストランテ・ホンダ,3.77, 外苑前駅 293m / イタリアン,"[4000, 4999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13016590/,https://tblg.k-img.com/restaurant/images/Rvw/81094/150x150_square_81094772.jpg
tokyo-A1306-A130602-13162361,コルク,3.56, 表参道駅 418m / ビストロ、フレンチ、ワインバー,[0],"[8000, 9999]",https://tabelog.com/tokyo/A1306/A130602/13162361/,https://tblg.k-img.com/restaurant/images/Rvw/30951/150x150_square_30951364.jpg
tokyo-A1306-A130602-13003475,バルバッコア 青山本店,3.66, 表参道駅 232m / ブラジル料理、バーベキュー、バイキング,"[3000, 3999]","[6000, 7999]",https://tabelog.com/tokyo/A1306/A130602/13003475/,https://tblg.k-img.com/restaurant/images/Rvw/60622/150x150_square_60622399.jpg
tokyo-A1306-A130603-13001944,アカーチェ,3.68, 外苑前駅 455m / イタリアン,[0],"[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13001944/,https://tblg.k-img.com/restaurant/images/Rvw/49213/150x150_square_49213019.jpg
tokyo-A1306-A130602-13001968,ブレッツカフェ　クレープリー 表参道店,3.62, 表参道駅 399m / クレープ、フレンチ、カフェ,"[1000, 1999]","[2000, 2999]",https://tabelog.com/tokyo/A1306/A130602/13001968/,https://tblg.k-img.com/restaurant/images/Rvw/62998/150x150_square_62998115.jpg
tokyo-A1306-A130602-13191836,山笑ふ 表参道店,3.53, 表参道駅 280m / しゃぶしゃぶ、すき焼き、豚しゃぶ,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1306/A130602/13191836/,https://tblg.k-img.com/restaurant/images/Rvw/56897/150x150_square_56897964.jpg
tokyo-A1306-A130603-13001335,ガラリ青山,3.53, 外苑前駅 431m / 居酒屋、割烹・小料理、和食（その他）,"[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1306/A130603/13001335/,https://tblg.k-img.com/restaurant/images/Rvw/96485/150x150_square_96485824.jpg
tokyo-A1306-A130602-13007360,エトゥルスキ,3.71, 表参道駅 228m / イタリアン、ダイニングバー、ワインバー,"[3000, 3999]","[8000, 9999]",https://tabelog.com/tokyo/A1306/A130602/13007360/,https://tblg.k-img.com/restaurant/images/Rvw/24849/150x150_square_24849463.jpg
tokyo-A1306-A130602-13001958,ラ・ロシェル 南青山,3.7, 表参道駅 177m / フレンチ、西洋各国料理（その他）、レストラン（その他）,"[20000, 29999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130602/13001958/,https://tblg.k-img.com/restaurant/images/Rvw/3303/150x150_square_3303840.jpg
tokyo-A1306-A130602-13001850,とんかつ まい泉 青山本店,3.56, 表参道駅 315m / とんかつ、割烹・小料理、居酒屋,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1306/A130602/13001850/,https://tblg.k-img.com/restaurant/images/Rvw/43968/150x150_square_43968892.jpg
tokyo-A1306-A130602-13145384,ルメルシマン オカモト,3.92, 表参道駅 362m / フレンチ,"[5000, 5999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130602/13145384/,https://tblg.k-img.com/restaurant/images/Rvw/15634/150x150_square_15634400.jpg
tokyo-A1306-A130602-13039870,南青山エッセンス,3.79, 表参道駅 361m / 広東料理、薬膳、創作料理,"[1000, 1999]","[8000, 9999]",https://tabelog.com/tokyo/A1306/A130602/13039870/,https://tblg.k-img.com/restaurant/images/Rvw/70832/150x150_square_70832576.jpg
tokyo-A1306-A130601-13160707,サングリア 青山店,3.55, 表参道駅 160m / スペイン料理、イタリアン、フレンチ,"[2000, 2999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130601/13160707/,https://tblg.k-img.com/restaurant/images/Rvw/94877/150x150_square_94877417.jpg
tokyo-A1306-A130603-13143791,麺屋すみす,3.67, 青山一丁目駅 146m / ラーメン、つけ麺,"[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1306/A130603/13143791/,https://tblg.k-img.com/restaurant/images/Rvw/24858/150x150_square_24858026.jpg
tokyo-A1306-A130602-13159774,INTERSECT BY LEXUS,3.62, 表参道駅 308m / カフェ、ビストロ、ダイニングバー,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130602/13159774/,https://tblg.k-img.com/restaurant/images/Rvw/46456/150x150_square_46456673.jpg
tokyo-A1307-A130701-13182912,亜細亜割烹 蓮月,3.6, 乃木坂駅 139m / 中華料理、餃子,[0],"[4000, 4999]",https://tabelog.com/tokyo/A1307/A130701/13182912/,https://tblg.k-img.com/restaurant/images/Rvw/41437/150x150_square_41437494.jpg
tokyo-A1306-A130603-13212588,エックス,3.51, 外苑前駅 164m / フレンチ、創作料理、ラウンジ,"[3000, 3999]","[6000, 7999]",https://tabelog.com/tokyo/A1306/A130603/13212588/,https://tblg.k-img.com/restaurant/images/Rvw/74141/150x150_square_74141308.jpg
tokyo-A1306-A130603-13192399,オルグイユ,3.98, 外苑前駅 518m / フレンチ,"[15000, 19999]","[20000, 29999]",https://tabelog.com/tokyo/A1306/A130603/13192399/,https://tblg.k-img.com/restaurant/images/Rvw/71192/150x150_square_71192608.jpg
tokyo-A1306-A130601-13195491,BLAKES,3.7, 国立競技場駅 673m / カレーライス、カレー（その他）,"[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1306/A130601/13195491/,https://tblg.k-img.com/restaurant/images/Rvw/108492/150x150_square_108492269.jpg
tokyo-A1306-A130601-13001215,樋口,4.4, 明治神宮前駅 735m / 割烹・小料理,[0],"[20000, 29999]",https://tabelog.com/tokyo/A1306/A130601/13001215/,https://tblg.k-img.com/restaurant/images/Rvw/50164/150x150_square_50164694.jpg
tokyo-A1309-A130901-13009426,トゥルナージュ 神宮前店,3.52, 国立競技場駅 678m / パン、ベーグル,"[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1309/A130901/13009426/,https://tblg.k-img.com/restaurant/images/Rvw/47949/150x150_square_47949397.jpg
tokyo-A1306-A130602-13128277,御料理武蔵野,3.52, 表参道駅 207m / 懐石・会席料理、そば,"[1000, 1999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130602/13128277/,https://tblg.k-img.com/restaurant/images/Rvw/77089/150x150_square_77089696.jpg
tokyo-A1306-A130602-13152874,青山　仁,3.69, 表参道駅 275m / 割烹・小料理、懐石・会席料理,"[5000, 5999]","[15000, 19999]",https://tabelog.com/tokyo/A1306/A130602/13152874/,https://tblg.k-img.com/restaurant/images/Rvw/19007/150x150_square_19007555.jpg
tokyo-A1306-A130603-13093823,ブリ・マデ,3.61, 外苑前駅 237m / インドネシア料理、アジア・エスニック料理（その他）、ダイニングバー,"[0, 999]","[4000, 4999]",https://tabelog.com/tokyo/A1306/A130603/13093823/,https://tblg.k-img.com/restaurant/images/Rvw/35944/150x150_square_35944467.jpg
tokyo-A1306-A130601-13153983,ペルー料理 bepocah,3.79, 明治神宮前駅 662m / 中南米料理（その他）、ダイニングバー、バル・バール,[0],"[6000, 7999]",https://tabelog.com/tokyo/A1306/A130601/13153983/,https://tblg.k-img.com/restaurant/images/Rvw/52019/150x150_square_52019863.jpg
tokyo-A1306-A130603-13155925,匠 進吾,4.15, 青山一丁目駅 161m / 寿司,"[20000, 29999]","[20000, 29999]",https://tabelog.com/tokyo/A1306/A130603/13155925/,https://tblg.k-img.com/restaurant/images/Rvw/84681/150x150_square_84681400.jpg
tokyo-A1306-A130602-13043678,しろう,3.56, 表参道駅 424m / そば,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1306/A130602/13043678/,https://tblg.k-img.com/restaurant/images/Rvw/8426/150x150_square_8426263.jpg
tokyo-A1306-A130603-13158232,ワールド・ブレックファスト・オールデイ,3.52, 外苑前駅 363m / 無国籍料理,"[1000, 1999]",[0],https://tabelog.com/tokyo/A1306/A130603/13158232/,https://tblg.k-img.com/restaurant/images/Rvw/44104/150x150_square_44104406.jpg
tokyo-A1306-A130603-13118916,蛸あざぶ,3.53, 外苑前駅 391m / たこ焼き、居酒屋、ステーキ,[0],"[3000, 3999]",https://tabelog.com/tokyo/A1306/A130603/13118916/,https://tblg.k-img.com/restaurant/images/Rvw/88826/150x150_square_88826446.jpg
tokyo-A1306-A130603-13012952,上海港,3.56, 外苑前駅 102m / 中華料理、中華麺（その他）、餃子,"[0, 999]","[2000, 2999]",https://tabelog.com/tokyo/A1306/A130603/13012952/,https://tblg.k-img.com/restaurant/images/Rvw/105054/150x150_square_105054051.jpg
tokyo-A1306-A130603-13006081,シャンウェイ,3.74, 外苑前駅 431m / 四川料理,"[0, 999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130603/13006081/,https://tblg.k-img.com/restaurant/images/Rvw/65892/150x150_square_65892681.jpg
tokyo-A1306-A130603-13034414,福新楼,3.53, 外苑前駅 57m / 中華料理,"[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1306/A130603/13034414/,https://tblg.k-img.com/restaurant/images/Rvw/37191/150x150_square_37191062.jpg
tokyo-A1306-A130602-13004450,キル フェ ボン 青山,3.55, 表参道駅 110m / ケーキ、スイーツ（その他）,"[1000, 1999]","[0, 999]",https://tabelog.com/tokyo/A1306/A130602/13004450/,https://tblg.k-img.com/restaurant/images/Rvw/85583/150x150_square_85583109.jpg
tokyo-A1306-A130603-13035758,天ぷら 元吉,4.21, 外苑前駅 287m / 天ぷら,[0],"[15000, 19999]",https://tabelog.com/tokyo/A1306/A130603/13035758/,https://tblg.k-img.com/restaurant/images/Rvw/85583/150x150_square_85583628.jpg
tokyo-A1307-A130701-13001986,リストランテ山﨑,3.71, 乃木坂駅 162m / イタリアン,"[8000, 9999]","[20000, 29999]",https://tabelog.com/tokyo/A1307/A130701/13001986/,https://tblg.k-img.com/restaurant/images/Rvw/2449/150x150_square_2449444.jpg
tokyo-A1306-A130603-13169768,鳴神,3.82, 外苑前駅 338m / イノベーティブ・フュージョン、和食（その他）,"[10000, 14999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13169768/,https://tblg.k-img.com/restaurant/images/Rvw/33848/150x150_square_33848226.jpg
tokyo-A1306-A130603-13012964,大江戸 南青山店,3.73, 外苑前駅 283m / うなぎ、割烹・小料理,"[6000, 7999]","[4000, 4999]",https://tabelog.com/tokyo/A1306/A130603/13012964/,https://tblg.k-img.com/restaurant/images/Rvw/41890/150x150_square_41890422.jpg
tokyo-A1306-A130603-13126438,キタヤ 六人衆 青山本店,3.55, 外苑前駅 65m / 和菓子、どら焼き,"[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1306/A130603/13126438/,https://tblg.k-img.com/restaurant/images/Rvw/23588/150x150_square_23588354.jpg
tokyo-A1306-A130602-13033164,青山 川上庵,3.7, 表参道駅 191m / そば、天丼・天重、天ぷら,"[1000, 1999]","[8000, 9999]",https://tabelog.com/tokyo/A1306/A130602/13033164/,https://tblg.k-img.com/restaurant/images/Rvw/109043/150x150_square_109043768.jpg
tokyo-A1306-A130603-13023934,游,3.7, 外苑前駅 286m / 割烹・小料理、魚介料理・海鮮料理、居酒屋,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130603/13023934/,https://tblg.k-img.com/restaurant/images/Rvw/110549/150x150_square_110549460.jpg
tokyo-A1306-A130603-13001179,海味,4.37, 外苑前駅 303m / 寿司,[0],"[20000, 29999]",https://tabelog.com/tokyo/A1306/A130603/13001179/,https://tblg.k-img.com/restaurant/images/Rvw/82179/150x150_square_82179083.jpg
tokyo-A1306-A130602-13137443,ラテスト,3.63, 表参道駅 415m / カフェ、コーヒー専門店,"[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1306/A130602/13137443/,https://tblg.k-img.com/restaurant/images/Rvw/19664/150x150_square_19664351.jpg
tokyo-A1307-A130701-13057028,ウエスト青山ガーデン,3.66, 乃木坂駅 153m / カフェ、ケーキ、パンケーキ,"[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1307/A130701/13057028/,https://tblg.k-img.com/restaurant/images/Rvw/44584/150x150_square_44584602.jpg
tokyo-A1306-A130603-13147345,2colori,3.71, 外苑前駅 386m / イタリアン,"[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1306/A130603/13147345/,https://tblg.k-img.com/restaurant/images/Rvw/85549/150x150_square_85549098.jpg
tokyo-A1306-A130602-13110755,トス サラダ Echika表参道,3.52, 表参道駅 12m / 野菜料理、洋食・欧風料理（その他）、カフェ,"[1000, 1999]","[0, 999]",https://tabelog.com/tokyo/A1306/A130602/13110755/,https://tblg.k-img.com/restaurant/images/Rvw/112073/150x150_square_112073042.jpg
tokyo-A1306-A130602-13198801,ハートブレッドアンティーク 表参道店,3.51, 表参道駅 334m / パン,"[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1306/A130602/13198801/,https://tblg.k-img.com/restaurant/images/Rvw/109810/150x150_square_109810148.jpg
