id,name,rating,genre,lunch_budget,dinner_budget,redirect_url,thumbnail_image_url
tokyo-A1311-A131101-13126597,山鶏 湯島本店,3.52, 湯島駅 140m / 焼鳥、日本酒バー、鳥料理,[0],"[4000, 4999]",https://tabelog.com/tokyo/A1311/A131101/13126597/,https://tblg.k-img.com/restaurant/images/Rvw/33559/33559987.jpg
tokyo-A1311-A131101-13080256,湯島ワンズラクレット チーズ料理専門店 野菜＆ワイン,3.52, 湯島駅 89m / イタリアン、バル・バール、ダイニングバー,[0],"[3000, 3999]",https://tabelog.com/tokyo/A1311/A131101/13080256/,https://tblg.k-img.com/restaurant/images/Rvw/112078/112078030.jpg
tokyo-A1311-A131101-13095866,シヤー・トムヤムクン・ポーチャナー,3.64, 京成上野駅 274m / タイ料理、タイカレー,[0],"[3000, 3999]",https://tabelog.com/tokyo/A1311/A131101/13095866/,https://tblg.k-img.com/restaurant/images/Rvw/24608/24608231.jpg
tokyo-A1311-A131101-13144635,Enn,3.5, 稲荷町駅 269m / フレンチ、ビストロ、ワインバー,[0],"[4000, 4999]",https://tabelog.com/tokyo/A1311/A131101/13144635/,https://tblg.k-img.com/restaurant/images/Rvw/100642/100642235.jpg
tokyo-A1311-A131101-13220520,案山子,3.51, 御徒町駅 154m / ラーメン、居酒屋,"[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1311/A131101/13220520/,https://tblg.k-img.com/restaurant/images/Rvw/97867/97867276.jpg
tokyo-A1311-A131101-13166177,日本料理　丸しま,3.53, 末広町駅 263m / 割烹・小料理、懐石・会席料理、和食（その他）,"[10000, 14999]","[10000, 14999]",https://tabelog.com/tokyo/A1311/A131101/13166177/,https://tblg.k-img.com/restaurant/images/Rvw/68996/68996043.jpg
tokyo-A1311-A131101-13161612,イタリアンバル アクア 上野公園前店,3.55, 京成上野駅 109m / イタリアン、ピザ、パスタ,"[2000, 2999]","[3000, 3999]",https://tabelog.com/tokyo/A1311/A131101/13161612/,https://tblg.k-img.com/restaurant/images/Rvw/52417/52417963.jpg
tokyo-A1311-A131101-13182283,キエチュード,3.63, 稲荷町駅 122m / フレンチ,"[2000, 2999]","[8000, 9999]",https://tabelog.com/tokyo/A1311/A131101/13182283/,https://tblg.k-img.com/restaurant/images/Rvw/83134/83134628.jpg
tokyo-A1311-A131101-13026572,豚っく,3.62, 上野広小路駅 208m / 居酒屋、しゃぶしゃぶ、丼もの（その他）,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1311/A131101/13026572/,https://tblg.k-img.com/restaurant/images/Rvw/99846/99846162.jpg
tokyo-A1310-A131004-13156948,a table,3.72, 末広町駅 341m / ビストロ、フレンチ、ワインバー,[0],"[6000, 7999]",https://tabelog.com/tokyo/A1310/A131004/13156948/,https://tblg.k-img.com/restaurant/images/Rvw/86853/86853955.jpg
tokyo-A1311-A131101-13168753,ハリマ・ケバブ・ビリヤニ,3.74, 稲荷町駅 213m / インド料理、インドカレー、パキスタン料理,"[0, 999]","[2000, 2999]",https://tabelog.com/tokyo/A1311/A131101/13168753/,https://tblg.k-img.com/restaurant/images/Rvw/39468/39468208.jpg
tokyo-A1311-A131101-13042676,steakdining鷹,3.64, 上野広小路駅 141m / ステーキ、鉄板焼き、魚介料理・海鮮料理,"[1000, 1999]","[10000, 14999]",https://tabelog.com/tokyo/A1311/A131101/13042676/,https://tblg.k-img.com/restaurant/images/Rvw/46942/46942871.jpg
tokyo-A1311-A131101-13166630,和楽庵,3.56, 仲御徒町駅 98m / そば、魚介料理・海鮮料理、居酒屋,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1311/A131101/13166630/,https://tblg.k-img.com/restaurant/images/Rvw/111847/111847624.jpg
tokyo-A1311-A131101-13166367,ラ ココリコ 上野の森桜テラス店,3.58, 京成上野駅 120m / ビストロ、イタリアン、居酒屋,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1311/A131101/13166367/,https://tblg.k-img.com/restaurant/images/Rvw/26577/26577194.jpg
tokyo-A1311-A131101-13016708,上野太昌園 上野別館,3.52, 上野御徒町駅 147m / 焼肉、韓国料理、居酒屋,[0],"[5000, 5999]",https://tabelog.com/tokyo/A1311/A131101/13016708/,https://tblg.k-img.com/restaurant/images/Rvw/48656/48656778.jpg
tokyo-A1311-A131101-13123339,ラ ココリコ 上野本店,3.59, 上野駅 123m / ビストロ、イタリアン、居酒屋,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1311/A131101/13123339/,https://tblg.k-img.com/restaurant/images/Rvw/10540/10540239.jpg
tokyo-A1311-A131101-13057433,心洗庵,3.54, 御徒町駅 149m / そば、割烹・小料理、居酒屋,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1311/A131101/13057433/,https://tblg.k-img.com/restaurant/images/Rvw/77308/77308530.jpg
tokyo-A1311-A131101-13130451,秋葉原つけ麺 油そば 楽,3.53, 末広町駅 90m / つけ麺、油そば、ラーメン,"[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1311/A131101/13130451/,https://tblg.k-img.com/restaurant/images/Rvw/68623/68623961.jpg
tokyo-A1311-A131101-13189167,貝料理　吟,3.51, 仲御徒町駅 272m / 居酒屋、魚介料理・海鮮料理、日本酒バー,[0],"[6000, 7999]",https://tabelog.com/tokyo/A1311/A131101/13189167/,https://tblg.k-img.com/restaurant/images/Rvw/46273/46273891.jpg
tokyo-A1311-A131101-13210013,イタリアン＆グリル アクア イルフォルノ,3.53, 京成上野駅 114m / イタリアン、ステーキ、パスタ,"[2000, 2999]","[4000, 4999]",https://tabelog.com/tokyo/A1311/A131101/13210013/,https://tblg.k-img.com/restaurant/images/Rvw/75850/75850505.jpg
tokyo-A1311-A131101-13216241,西口やきとん 御徒町店,3.53, 上野御徒町駅 89m / 立ち飲み居酒屋・バー、焼きとん,"[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1311/A131101/13216241/,https://tblg.k-img.com/restaurant/images/Rvw/88979/88979755.jpg
tokyo-A1311-A131101-13016837,東京豚バザール,3.51, 上野駅 160m / 居酒屋、豚しゃぶ、豚料理,[0],"[3000, 3999]",https://tabelog.com/tokyo/A1311/A131101/13016837/,https://tblg.k-img.com/restaurant/images/Rvw/111911/111911601.jpg
tokyo-A1310-A131001-13145958,ごっつ 秋葉原店,3.57, 秋葉原駅 293m / ラーメン、つけ麺、餃子,"[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1310/A131001/13145958/,https://tblg.k-img.com/restaurant/images/Rvw/93366/93366525.jpg
tokyo-A1311-A131101-13189036,鴨一ワイン酒場 SUN,3.54, 仲御徒町駅 226m / ビストロ、創作料理、ワインバー,"[0, 999]","[5000, 5999]",https://tabelog.com/tokyo/A1311/A131101/13189036/,https://tblg.k-img.com/restaurant/images/Rvw/45301/45301318.jpg
tokyo-A1311-A131101-13131883,湯島ワイン食堂 パパン,3.5, 湯島駅 77m / ビストロ、ワインバー、バル・バール,[0],"[4000, 4999]",https://tabelog.com/tokyo/A1311/A131101/13131883/,https://tblg.k-img.com/restaurant/images/Rvw/85724/85724350.jpg
tokyo-A1311-A131101-13189152,中国料理 喜羊門,3.67, 湯島駅 145m / 中華料理,"[0, 999]","[4000, 4999]",https://tabelog.com/tokyo/A1311/A131101/13189152/,https://tblg.k-img.com/restaurant/images/Rvw/46111/46111279.jpg
tokyo-A1311-A131101-13016759,陽山道 上野広小路店,3.52, 上野御徒町駅 47m / 焼肉、韓国料理、ホルモン,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1311/A131101/13016759/,https://tblg.k-img.com/restaurant/images/Rvw/30743/30743458.jpg
tokyo-A1311-A131101-13005550,ブラッスリー・レカン,3.61, 上野駅 124m / フレンチ,"[2000, 2999]","[6000, 7999]",https://tabelog.com/tokyo/A1311/A131101/13005550/,https://tblg.k-img.com/restaurant/images/Rvw/44129/44129988.jpg
tokyo-A1311-A131101-13121008,マル超ホルモン,3.57, 湯島駅 148m / ホルモン、焼肉,[0],"[3000, 3999]",https://tabelog.com/tokyo/A1311/A131101/13121008/,https://tblg.k-img.com/restaurant/images/Rvw/6405/6405179.jpg
tokyo-A1311-A131101-13036146,コーダリー,3.77, 京成上野駅 501m / フレンチ,"[3000, 3999]","[8000, 9999]",https://tabelog.com/tokyo/A1311/A131101/13036146/,https://tblg.k-img.com/restaurant/images/Rvw/30301/30301129.jpg
